education,,,,,,,
LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,56.772099,
AUT,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,35.388458,
BEL,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,50.180088,
CAN,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,69.489197,
CZE,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,29.772858,
DNK,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,49.001373,
FIN,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,49.854015,
FRA,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,44.708405,
DEU,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,30.454971,
GRC,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,37.135807,
HUN,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,33.936646,
ISL,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,54.667465,
IRL,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,58.121262,
ITA,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,23.533993,
JPN,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,57.32716,
KOR,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,51.005707,
LUX,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,52.599995,
MEX,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,20.143509,
NLD,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,45.707039,
NZL,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,43.47171,
NOR,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,54.209,
POL,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,40.363041,
PRT,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,36.661926,
SVK,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,34.594795,
ESP,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,44.719719,
SWE,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,56.250675,
CHE,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,41.891602,
TUR,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,24.712645,
GBR,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,53.103844,
USA,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,54.022106,
COL,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,30.715418,
EST,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,53.523026,
ISR,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,56.01664,
LVA,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,48.913044,
SVN,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,48.274311,
LTU,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,54.084526,
CRI,EDUADULT,TRY_WOMEN,PC_25_64,A,2022,27.570807,