politics,,,,,,,
LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,WOMENPOLVOICE,POLREPRES,PC,A,2021,31.1,
AUT,WOMENPOLVOICE,POLREPRES,PC,A,2021,39.9,
BEL,WOMENPOLVOICE,POLREPRES,PC,A,2021,42,
CAN,WOMENPOLVOICE,POLREPRES,PC,A,2021,29.6,
CZE,WOMENPOLVOICE,POLREPRES,PC,A,2021,23,
DNK,WOMENPOLVOICE,POLREPRES,PC,A,2021,39.7,
FIN,WOMENPOLVOICE,POLREPRES,PC,A,2021,46,
FRA,WOMENPOLVOICE,POLREPRES,PC,A,2021,39.5,
DEU,WOMENPOLVOICE,POLREPRES,PC,A,2021,31.5,
GRC,WOMENPOLVOICE,POLREPRES,PC,A,2021,21.7,
HUN,WOMENPOLVOICE,POLREPRES,PC,A,2021,12.6,
ISL,WOMENPOLVOICE,POLREPRES,PC,A,2021,39.7,
IRL,WOMENPOLVOICE,POLREPRES,PC,A,2021,22.5,
ITA,WOMENPOLVOICE,POLREPRES,PC,A,2021,35.7,
JPN,WOMENPOLVOICE,POLREPRES,PC,A,2021,9.9,
KOR,WOMENPOLVOICE,POLREPRES,PC,A,2021,19,
LUX,WOMENPOLVOICE,POLREPRES,PC,A,2021,31.7,
MEX,WOMENPOLVOICE,POLREPRES,PC,A,2021,48.2,
NLD,WOMENPOLVOICE,POLREPRES,PC,A,2021,33.3,
NZL,WOMENPOLVOICE,POLREPRES,PC,A,2021,48.3,
NOR,WOMENPOLVOICE,POLREPRES,PC,A,2021,44.4,
POL,WOMENPOLVOICE,POLREPRES,PC,A,2021,28.3,
PRT,WOMENPOLVOICE,POLREPRES,PC,A,2021,40,
SVK,WOMENPOLVOICE,POLREPRES,PC,A,2021,22.7,
ESP,WOMENPOLVOICE,POLREPRES,PC,A,2021,44,
SWE,WOMENPOLVOICE,POLREPRES,PC,A,2021,47,
CHE,WOMENPOLVOICE,POLREPRES,PC,A,2021,42,
TUR,WOMENPOLVOICE,POLREPRES,PC,A,2021,17.3,
GBR,WOMENPOLVOICE,POLREPRES,PC,A,2021,33.9,
USA,WOMENPOLVOICE,POLREPRES,PC,A,2021,27.3,
CHL,WOMENPOLVOICE,POLREPRES,PC,A,2021,22.6,
COL,WOMENPOLVOICE,POLREPRES,PC,A,2021,18.8,
EST,WOMENPOLVOICE,POLREPRES,PC,A,2021,27.7,
ISR,WOMENPOLVOICE,POLREPRES,PC,A,2021,26.7,
LVA,WOMENPOLVOICE,POLREPRES,PC,A,2021,29,
LTU,WOMENPOLVOICE,POLREPRES,PC,A,2021,27.7,
SVN,WOMENPOLVOICE,POLREPRES,PC,A,2021,26.7,
CRI,WOMENPOLVOICE,POLREPRES,PC,A,2021,45.6,